stage,year,drift_level,query_id,query,domain,answer,factuality,label,retrieval_score,is_hallucinated
2020 Baseline,2020,0.0,Q01,Who is the CEO of Twitter?,tech,"The application, now called ""Twitter"" and distributed free of charge, is the official Twitter client for the iPhone, iPa...",0.4953,PARTIAL ⚠️,0.099,False
2020 Baseline,2020,0.0,Q02,What did Elon Musk acquire in 2022?,tech,"jpg | caption = Musk at the Royal Society admissions day in London, July 2018 | birth_name = Elon Reeve Musk | birth_dat...",0.5115,PARTIAL ⚠️,0.1018,False
2020 Baseline,2020,0.0,Q03,What is ChatGPT and who created it?,tech,Article about ChatGPT from 2020-12 Wikipedia snapshot. 25 | exchange_rate = | market_cap = | footnotes = }} '''Bitcoin''...,0.1804,HALLUCINATED ❌,0.2372,True
2020 Baseline,2020,0.0,Q04,What is GPT-4 and what are its capabilities?,tech,Article about GPT-4 from 2020-12 Wikipedia snapshot. | type = | tax_id = | registration_id = | founded = | hq_location =...,0.2561,HALLUCINATED ❌,0.1873,True
2020 Baseline,2020,0.0,Q05,What is OpenAI's valuation and major products?,tech,"| type = | tax_id = | registration_id = | founded = | hq_location = Pioneer Building, San Francisco, California, US | or...",0.5049,PARTIAL ⚠️,0.0936,False
2020 Baseline,2020,0.0,Q06,What is the price of Bitcoin and its market status?,finance,}} ('''₿''') is a cryptocurrency invented in 2008 by an unknown person or group of people using the name Satoshi Nakamot...,0.4271,PARTIAL ⚠️,0.128,False
2020 Baseline,2020,0.0,Q07,Who is the President of the United States?,politics,"If no candidate receives the minimum 270 electoral votes needed to win the election, a contingent election is held in wh...",0.6286,SUPPORTED ✅,0.0808,False
2020 Baseline,2020,0.0,Q08,What happened in the 2024 US presidential election?,politics,"The '''COVID-19 pandemic''', which , has killed over 270,000 people in the United States, has had significant economic a...",0.5599,SUPPORTED ✅,0.1427,False
2020 Baseline,2020,0.0,Q09,What is the current status of COVID-19 vaccines?,health,"The Bill & Melinda Gates Foundation (Gates Foundation), a private charitable organization dedicated to vaccine research ...",0.5466,PARTIAL ⚠️,0.1527,False
2020 Baseline,2020,0.0,Q10,What are the latest large language models available?,tech,Article about Large language model from 2020-12 Wikipedia snapshot. com/india/photo-gallery-sushil-modi-fact-checks-maya...,0.136,HALLUCINATED ❌,0.2324,True
2020 Baseline,2020,0.0,Q11,What is Tesla's latest vehicle and competition?,tech,"Tesla's sales strategy is to not advertise, but to educate customers through its showrooms, and sell its vehicles online...",0.5648,SUPPORTED ✅,0.0668,False
2020 Baseline,2020,0.0,Q12,What major achievements did India accomplish in space?,politics,* Moon landing * Lunar Polar Exploration Mission * Chandrayaan-2 * Indian Space Research Organisation Category:Missions ...,0.4564,PARTIAL ⚠️,0.0863,False
2020 Baseline,2020,0.0,Q13,What is the current state of artificial intelligence?,tech,"McCarthy recently reiterated his position at the AI@50 conference where he said ""Artificial intelligence is not, by defi...",0.4687,PARTIAL ⚠️,0.1117,False
2020 Baseline,2020,0.0,Q14,What are Narendra Modi's major achievements as Prime Minister?,politics,svg | website = }} '''Narendra Damodardas Modi''' ( ; born 17 September 1950) is an Indian politician serving as the 14t...,0.5747,SUPPORTED ✅,0.1801,False
2020 Baseline,2020,0.0,Q15,Who won the Indian Premier League recently?,sports,com] |current = }} The '''Indian Premier League''' ('''IPL''') is a professional Twenty20 cricket league in India usuall...,0.4911,PARTIAL ⚠️,0.1619,False
2021 (25% new),2021,0.25,Q01,Who is the CEO of Twitter?,tech,"It is that, in part, but the insight we eventually came to was Twitter was really more of an information network than it...",0.7695,SUPPORTED ✅,0.1104,False
2021 (25% new),2021,0.25,Q02,What did Elon Musk acquire in 2022?,tech,"jpg | caption = Musk at the Royal Society admissions day in London, July 2018 | birth_name = Elon Reeve Musk | birth_dat...",0.5115,PARTIAL ⚠️,0.0863,False
2021 (25% new),2021,0.25,Q03,What is ChatGPT and who created it?,tech,"Unlike its predecessors, GPT-4 is a multimodal model: it can take images as well as text as input; this gives it the abi...",0.0242,HALLUCINATED ❌,0.1649,True
2021 (25% new),2021,0.25,Q04,What is GPT-4 and what are its capabilities?,tech,"Unlike its predecessors, GPT-4 is a multimodal model: it can take images as well as text as input; this gives it the abi...",0.7078,SUPPORTED ✅,0.1414,False
2021 (25% new),2021,0.25,Q05,What is OpenAI's valuation and major products?,tech,| key_people = | area_served = | products = OpenAI Five | services = | revenue = US$28 million | revenue_year = 2022 | n...,0.6989,SUPPORTED ✅,0.0919,False
2021 (25% new),2021,0.25,Q06,What is the price of Bitcoin and its market status?,finance,}} ('''₿''') is a cryptocurrency invented in 2008 by an unknown person or group of people using the name Satoshi Nakamot...,0.4271,PARTIAL ⚠️,0.1277,False
2021 (25% new),2021,0.25,Q07,Who is the President of the United States?,politics,"If no candidate receives the minimum 270 electoral votes needed to win the election, a contingent election is held in wh...",0.6286,SUPPORTED ✅,0.0939,False
2021 (25% new),2021,0.25,Q08,What happened in the 2024 US presidential election?,politics,"The '''COVID-19 pandemic''', which , has killed over 270,000 people in the United States, has had significant economic a...",0.5599,SUPPORTED ✅,0.1379,False
2021 (25% new),2021,0.25,Q09,What is the current status of COVID-19 vaccines?,health,"The Bill & Melinda Gates Foundation (Gates Foundation), a private charitable organization dedicated to vaccine research ...",0.5466,PARTIAL ⚠️,0.1582,False
2021 (25% new),2021,0.25,Q10,What are the latest large language models available?,tech,Article about Large language model from 2020-12 Wikipedia snapshot. 5 | replaced_by = GPT-4o | license = Proprietary }} ...,0.2748,HALLUCINATED ❌,0.1513,True
2021 (25% new),2021,0.25,Q11,What is Tesla's latest vehicle and competition?,tech,"Tesla's sales strategy is to not advertise, but to educate customers through its showrooms, and sell its vehicles online...",0.5648,SUPPORTED ✅,0.0689,False
2021 (25% new),2021,0.25,Q12,What major achievements did India accomplish in space?,politics,* Moon landing * Lunar Polar Exploration Mission * Chandrayaan-2 * Indian Space Research Organisation Category:Missions ...,0.4564,PARTIAL ⚠️,0.0931,False
2021 (25% new),2021,0.25,Q13,What is the current state of artificial intelligence?,tech,"McCarthy recently reiterated his position at the AI@50 conference where he said ""Artificial intelligence is not, by defi...",0.4687,PARTIAL ⚠️,0.1217,False
2021 (25% new),2021,0.25,Q14,What are Narendra Modi's major achievements as Prime Minister?,politics,svg | website = }} '''Narendra Damodardas Modi''' ( ; born 17 September 1950) is an Indian politician serving as the 14t...,0.5747,SUPPORTED ✅,0.1866,False
2021 (25% new),2021,0.25,Q15,Who won the Indian Premier League recently?,sports,"On 13 September 2007, following India's victory at the 2007 T20 World Cup, the BCCI announced a franchise based Twenty20...",0.8232,SUPPORTED ✅,0.1547,False
2022 (50% new),2022,0.5,Q01,Who is the CEO of Twitter?,tech,"It is that, in part, but the insight we eventually came to was Twitter was really more of an information network than it...",0.7695,SUPPORTED ✅,0.117,False
2022 (50% new),2022,0.5,Q02,What did Elon Musk acquire in 2022?,tech,"jpg | caption = Musk in 2022 | birth_name = Elon Reeve Musk | birth_date = | birth_place = Pretoria, Transvaal, South Af...",0.6242,SUPPORTED ✅,0.115,False
2022 (50% new),2022,0.5,Q03,What is ChatGPT and who created it?,tech,| latest release version = | engine = | platform = Cloud computing platforms | genre = | license = Privative service | w...,0.755,SUPPORTED ✅,0.0847,False
2022 (50% new),2022,0.5,Q04,What is GPT-4 and what are its capabilities?,tech,"Unlike its predecessors, GPT-4 is a multimodal model: it can take images as well as text as input; this gives it the abi...",0.7078,SUPPORTED ✅,0.1269,False
2022 (50% new),2022,0.5,Q05,What is OpenAI's valuation and major products?,tech,| key_people = | area_served = | products = OpenAI Five | services = | revenue = US$28 million | revenue_year = 2022 | n...,0.487,PARTIAL ⚠️,0.0806,False
2022 (50% new),2022,0.5,Q06,What is the price of Bitcoin and its market status?,finance,}} ('''₿''') is a cryptocurrency invented in 2008 by an unknown person or group of people using the name Satoshi Nakamot...,0.4271,PARTIAL ⚠️,0.1332,False
2022 (50% new),2022,0.5,Q07,Who is the President of the United States?,politics,"The winners are scheduled to be inaugurated on January 20, 2025, as the 47th president and 50th vice president of the Un...",0.4364,PARTIAL ⚠️,0.1107,False
2022 (50% new),2022,0.5,Q08,What happened in the 2024 US presidential election?,politics,""" Trump's previous comments suggesting he can ""terminate"" the Constitution to reverse his election loss, his claim that ...",0.7435,SUPPORTED ✅,0.1675,False
2022 (50% new),2022,0.5,Q09,What is the current status of COVID-19 vaccines?,health,"The Bill & Melinda Gates Foundation (Gates Foundation), a private charitable organization dedicated to vaccine research ...",0.5466,PARTIAL ⚠️,0.1733,False
2022 (50% new),2022,0.5,Q10,What are the latest large language models available?,tech,"] It's also a way to understand the ""hallucinations"", or nonsensical answers to factual questions, to which large langua...",0.3918,PARTIAL ⚠️,0.0983,False
2022 (50% new),2022,0.5,Q11,What is Tesla's latest vehicle and competition?,tech,"Tesla's sales strategy is to not advertise, but to educate customers through its showrooms, and sell its vehicles online...",0.5648,SUPPORTED ✅,0.075,False
2022 (50% new),2022,0.5,Q12,What major achievements did India accomplish in space?,politics,* Moon landing * Lunar Polar Exploration Mission * Chandrayaan-2 * Indian Space Research Organisation Category:Missions ...,0.4564,PARTIAL ⚠️,0.0921,False
2022 (50% new),2022,0.5,Q13,What is the current state of artificial intelligence?,tech,"McCarthy recently reiterated his position at the AI@50 conference where he said ""Artificial intelligence is not, by defi...",0.4687,PARTIAL ⚠️,0.1142,False
2022 (50% new),2022,0.5,Q14,What are Narendra Modi's major achievements as Prime Minister?,politics,svg | website = }} '''Narendra Damodardas Modi''' ( ; born 17 September 1950) is an Indian politician serving as the 14t...,0.5747,SUPPORTED ✅,0.1879,False
2022 (50% new),2022,0.5,Q15,Who won the Indian Premier League recently?,sports,"On 13 September 2007, following India's victory at the 2007 T20 World Cup, the BCCI announced a franchise based Twenty20...",0.8232,SUPPORTED ✅,0.15,False
2023 (75% new),2023,0.75,Q01,Who is the CEO of Twitter?,tech,"It is that, in part, but the insight we eventually came to was Twitter was really more of an information network than it...",0.7695,SUPPORTED ✅,0.1175,False
2023 (75% new),2023,0.75,Q02,What did Elon Musk acquire in 2022?,tech,"jpg | caption = Musk in 2022 | birth_name = Elon Reeve Musk | birth_date = | birth_place = Pretoria, Transvaal, South Af...",0.6242,SUPPORTED ✅,0.1141,False
2023 (75% new),2023,0.75,Q03,What is ChatGPT and who created it?,tech,| latest release version = | engine = | platform = Cloud computing platforms | genre = | license = Privative service | w...,0.755,SUPPORTED ✅,0.0778,False
2023 (75% new),2023,0.75,Q04,What is GPT-4 and what are its capabilities?,tech,"Unlike its predecessors, GPT-4 is a multimodal model: it can take images as well as text as input; this gives it the abi...",0.7078,SUPPORTED ✅,0.129,False
2023 (75% new),2023,0.75,Q05,What is OpenAI's valuation and major products?,tech,| key_people = | area_served = | products = OpenAI Five | services = | revenue = US$28 million | revenue_year = 2022 | n...,0.487,PARTIAL ⚠️,0.0806,False
2023 (75% new),2023,0.75,Q06,What is the price of Bitcoin and its market status?,finance,}} ('''₿''') is a cryptocurrency invented in 2008 by an unknown person or group of people using the name Satoshi Nakamot...,0.4271,PARTIAL ⚠️,0.1307,False
2023 (75% new),2023,0.75,Q07,Who is the President of the United States?,politics,"The winners are scheduled to be inaugurated on January 20, 2025, as the 47th president and 50th vice president of the Un...",0.4364,PARTIAL ⚠️,0.1102,False
2023 (75% new),2023,0.75,Q08,What happened in the 2024 US presidential election?,politics,""" Trump's previous comments suggesting he can ""terminate"" the Constitution to reverse his election loss, his claim that ...",0.7435,SUPPORTED ✅,0.1678,False
2023 (75% new),2023,0.75,Q09,What is the current status of COVID-19 vaccines?,health,"The Bill & Melinda Gates Foundation (Gates Foundation), a private charitable organization dedicated to vaccine research ...",0.5466,PARTIAL ⚠️,0.1686,False
2023 (75% new),2023,0.75,Q10,What are the latest large language models available?,tech,"] It's also a way to understand the ""hallucinations"", or nonsensical answers to factual questions, to which large langua...",0.3918,PARTIAL ⚠️,0.1045,False
2023 (75% new),2023,0.75,Q11,What is Tesla's latest vehicle and competition?,tech,"The Model 3 was less expensive than Tesla's previous three vehicles, and within a week the company received over 325,000...",0.5547,SUPPORTED ✅,0.0728,False
2023 (75% new),2023,0.75,Q12,What major achievements did India accomplish in space?,politics,png | insignia_size = 200px | insignia_caption = Mission insignia | programme = Chandrayaan programme | previous_mission...,0.8146,SUPPORTED ✅,0.0544,False
2023 (75% new),2023,0.75,Q13,What is the current state of artificial intelligence?,tech,"The space of possible future actions and situations is typically intractably large, so the agents must take actions and ...",0.4499,PARTIAL ⚠️,0.0757,False
2023 (75% new),2023,0.75,Q14,What are Narendra Modi's major achievements as Prime Minister?,politics,"svg | website = |}} | module = }} '''Narendra Damodardas Modi''' (; born 17 September 1950)|name=""foo""|group=}} is an In...",0.5163,PARTIAL ⚠️,0.1741,False
2023 (75% new),2023,0.75,Q15,Who won the Indian Premier League recently?,sports,"On 13 September 2007, following India's victory at the 2007 T20 World Cup, the BCCI announced a franchise based Twenty20...",0.8232,SUPPORTED ✅,0.1526,False
2024 Full,2024,1.0,Q01,Who is the CEO of Twitter?,tech,"It is that, in part, but the insight we eventually came to was Twitter was really more of an information network than it...",0.7695,SUPPORTED ✅,0.1174,False
2024 Full,2024,1.0,Q02,What did Elon Musk acquire in 2022?,tech,"jpg | caption = Musk in 2022 | birth_name = Elon Reeve Musk | birth_date = | birth_place = Pretoria, Transvaal, South Af...",0.6242,SUPPORTED ✅,0.1157,False
2024 Full,2024,1.0,Q03,What is ChatGPT and who created it?,tech,| latest release version = | engine = | platform = Cloud computing platforms | genre = | license = Privative service | w...,0.755,SUPPORTED ✅,0.0772,False
2024 Full,2024,1.0,Q04,What is GPT-4 and what are its capabilities?,tech,"Unlike its predecessors, GPT-4 is a multimodal model: it can take images as well as text as input; this gives it the abi...",0.7078,SUPPORTED ✅,0.129,False
2024 Full,2024,1.0,Q05,What is OpenAI's valuation and major products?,tech,| key_people = | area_served = | products = OpenAI Five | services = | revenue = US$28 million | revenue_year = 2022 | n...,0.487,PARTIAL ⚠️,0.0815,False
2024 Full,2024,1.0,Q06,What is the price of Bitcoin and its market status?,finance,"In May and June 2022, the bitcoin price fell following the collapses of TerraUSD, a stablecoin, and the Celsius Network,...",0.4806,PARTIAL ⚠️,0.1279,False
2024 Full,2024,1.0,Q07,Who is the President of the United States?,politics,"The winners are scheduled to be inaugurated on January 20, 2025, as the 47th president and 50th vice president of the Un...",0.4364,PARTIAL ⚠️,0.1165,False
2024 Full,2024,1.0,Q08,What happened in the 2024 US presidential election?,politics,""" Trump's previous comments suggesting he can ""terminate"" the Constitution to reverse his election loss, his claim that ...",0.7435,SUPPORTED ✅,0.1611,False
2024 Full,2024,1.0,Q09,What is the current status of COVID-19 vaccines?,health,The 2023 Nobel Prize in Physiology or Medicine was awarded to Katalin Karikó and Drew Weissman for the development of ef...,0.65,SUPPORTED ✅,0.1313,False
2024 Full,2024,1.0,Q10,What are the latest large language models available?,tech,"] It's also a way to understand the ""hallucinations"", or nonsensical answers to factual questions, to which large langua...",0.3918,PARTIAL ⚠️,0.1063,False
2024 Full,2024,1.0,Q11,What is Tesla's latest vehicle and competition?,tech,"The Model 3 was less expensive than Tesla's previous three vehicles, and within a week the company received over 325,000...",0.5547,SUPPORTED ✅,0.0726,False
2024 Full,2024,1.0,Q12,What major achievements did India accomplish in space?,politics,png | insignia_size = 200px | insignia_caption = Mission insignia | programme = Chandrayaan programme | previous_mission...,0.8146,SUPPORTED ✅,0.0519,False
2024 Full,2024,1.0,Q13,What is the current state of artificial intelligence?,tech,"The space of possible future actions and situations is typically intractably large, so the agents must take actions and ...",0.4499,PARTIAL ⚠️,0.0788,False
2024 Full,2024,1.0,Q14,What are Narendra Modi's major achievements as Prime Minister?,politics,"svg | website = |}} | module = }} '''Narendra Damodardas Modi''' (; born 17 September 1950)|name=""foo""|group=}} is an In...",0.5163,PARTIAL ⚠️,0.1721,False
2024 Full,2024,1.0,Q15,Who won the Indian Premier League recently?,sports,"On 13 September 2007, following India's victory at the 2007 T20 World Cup, the BCCI announced a franchise based Twenty20...",0.8232,SUPPORTED ✅,0.1513,False
